temp_total_count,0.0001,0.00012,0.000144,0.0001728,0.00020736,0.000248832,0.0002985984,0.00035831808,0.000429981696,0.0005159780352,0.00061917364224,0.000743008370688,0.0008916100448256,0.00106993205379072,0.0012839184645488638,0.0015407021574586365,0.0018488425889503638,0.0022186111067404365,0.0026623333280885236,0.0031947999937062283,0.003833759992447474,0.004600511990936969,0.005520614389124362,0.006624737266949235,0.007949684720339082,0.009539621664406897,0.011447545997288276,0.013737055196745932,0.01648446623609512,0.01978135948331414,0.02373763137997697,0.02848515765597236,0.03418218918716683,0.0410186270246002,0.049222352429520236,0.05906682291542428,0.07088018749850913,0.08505622499821096,0.10206746999785314,0.12248096399742377,0.1469771567969085,0.1763725881562902,0.21164710578754822,0.25397652694505785,0.3047718323340694,0.36572619880088325,0.43887143856105987
100,97,97,97,97,97,97,97,97,97,97,94,92,92,90,88,88,85,82,81,75,72,68,64,61,56,52,46,41,38,32,28,26,22,18,16,14,12,11,8,6,6,5,5,5,2,2,2
200,197,197,194,194,191,191,189,187,184,183,178,174,170,166,158,154,146,138,130,122,114,104,95,86,77,68,61,54,46,41,34,30,24,22,18,16,12,11,8,6,6,5,5,5,2,2,2
400,386,381,379,374,370,365,358,350,343,331,321,308,294,280,263,248,231,212,194,176,157,140,123,109,95,83,70,61,52,44,38,33,26,22,18,16,14,10,11,8,6,5,5,5,2,2,2
800,742,730,717,703,686,667,647,622,594,567,534,502,469,430,394,358,322,288,254,224,196,170,148,126,107,93,78,66,56,49,39,32,27,22,18,16,14,12,11,8,6,5,5,5,2,2,2
1600,1379,1343,1301,1253,1203,1145,1082,1017,948,876,803,730,658,590,523,462,404,352,304,262,224,190,162,139,116,98,83,70,59,49,41,34,28,24,20,16,14,12,11,8,6,5,5,5,2,2,2
3200,2423,2311,2191,2060,1923,1782,1636,1491,1346,1206,1072,948,830,725,626,540,462,394,337,284,241,204,170,144,120,101,84,70,61,49,41,34,28,24,20,16,14,12,11,8,6,5,5,5,2,2,2
6400,3902,3619,3330,3039,2750,2468,2198,1943,1707,1489,1290,1112,953,817,695,588,498,421,354,299,250,210,176,146,122,102,86,70,61,49,41,34,28,24,20,16,14,12,11,8,6,5,5,5,2,2,2
12800,5614,5046,4502,3986,3502,3058,2654,2290,1968,1682,1433,1218,1030,870,733,618,518,435,364,304,254,213,178,149,124,105,86,71,59,50,41,34,29,23,19,17,14,10,10,7,7,7,4,6298,2,2,2
25600,7190,6286,5462,4719,4059,3474,2961,2515,2131,1802,1519,1278,1075,902,756,633,528,443,370,308,259,215,181,150,124,105,87,73,61,50,41,34,29,23,19,17,14,10,10,7,7,7,4,9997,9997,6873,3130
51200,8367,7166,6115,5198,4406,3726,3142,2645,2224,1866,1564,1310,1099,918,766,640,534,446,372,310,259,215,181,150,124,103,87,73,61,50,41,34,29,23,19,17,14,10,10,7,7,7,4,9997,9997,9997,6258
102400,9109,7706,6502,5479,4606,3866,3241,2716,2274,1902,1590,1328,1108,925,772,645,539,449,374,312,261,215,181,150,126,103,87,73,61,50,41,34,29,23,19,17,14,10,10,7,7,7,4,4,9997,9997,9997
204800,9534,8007,6716,5628,4712,3940,3295,2752,2300,1920,1603,1336,1114,930,777,647,539,450,374,312,261,217,181,150,126,103,87,73,61,50,41,34,29,23,19,17,14,10,10,7,7,7,4,4,9997,9997,9997
409600,9762,8166,6828,5707,4766,3980,3321,2771,2312,1927,1608,1340,1117,933,777,647,540,450,374,312,261,217,181,150,126,103,87,73,61,50,41,34,29,23,19,17,14,10,10,7,7,7,4,4,9997,9997,9997
819200,9878,8249,6887,5745,4793,3998,3335,2780,2319,1933,1612,1342,1119,935,777,647,540,450,374,312,261,217,181,150,126,103,87,73,61,50,41,34,29,23,19,17,14,10,10,7,7,7,4,4,9997,9997,9997
1638400,9938,8291,6914,5766,4807,4009,3342,2786,2322,1936,1612,1344,1119,934,777,647,540,450,374,312,261,217,181,150,126,103,87,73,61,50,41,34,29,23,19,17,14,10,10,7,7,7,4,4,9997,9997,9997
3276800,9970,8312,6930,5775,4814,4014,3346,2787,2325,1936,1615,1344,1120,934,779,647,540,450,374,312,261,217,181,150,126,103,87,73,61,50,41,34,29,23,19,17,14,10,10,7,7,7,4,4,9997,9997,9997
6553600,9985,8322,6936,5782,4818,4016,3346,2789,2323,1936,1615,1346,1120,934,779,647,540,450,374,312,261,217,181,150,126,103,87,73,61,50,41,34,29,23,19,17,14,10,10,7,7,7,4,4,9997,9997,9997
